filename,prompt

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__276b3ab5-833c-4a6f-b0cf-bd625761adc8.png,""egyptian temple in the middle of a large courtyard with some pillars, in the style of light and shadow contrasts, grandiose architecture, angura kei, travel, soft-edged, focus stacking, panel composition mastery"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__276b3ab5-833c-4a6f-b0cf-bd625761adc8.png,""egyptian temple front entrance with columns, sun and blue sky, in the style of expansive spaces, iso 200, , travel, serene atmospheric perspective, historical inspiration, sanctuary"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__276b3ab5-833c-4a6f-b0cf-bd625761adc8.png,""egyptian temple in egypt with statues and columns, in the style of serene atmospheric perspective, expansive spaces"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__276b3ab5-833c-4a6f-b0cf-bd625761adc8.png,""the temple at aphrodite's palace in egypt, in the style of contrasting light and shadow, columns and totems, serene atmospheric perspective, polished concrete, elaborate facades, sparse, sanriocore"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__8567ca53-945d-4ab5-9cea-1774fdf1ed9e.png,""pillars in a hallway in a temple, with light, in the style of ancient egypt, precisionism influence, national geographic photo, flattened perspective, brutalism, solarizing master, detailed world-building"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__8567ca53-945d-4ab5-9cea-1774fdf1ed9e.png,""a hallway is filled with columns and columns, in the style of ancient egypt, lens flare, hasselblad h6d-400c, monolithic structures, national geographic photo, zen-like tranquility, simplified structures"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__8567ca53-945d-4ab5-9cea-1774fdf1ed9e.png,""a passageway of mummies inside islamic temple in lisbon, egypt, in the style of , vray tracing, columns and totems, , serene landscapism, 500â€“1000 ce, fine detailed"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__8567ca53-945d-4ab5-9cea-1774fdf1ed9e.png,""the courtyard of the temple of akhenath, in the style of , , 32k uhd, , columns and totems, passage, light bronze"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__bbed0ff2-70fa-402f-97ec-734a563c5765.png,""pillars in a hallway in a temple, with light, in the style of ancient egypt, precisionism influence, national geographic photo, flattened perspective, brutalism, solarizing master, detailed world-building"""

"C:/Users/Marku/Downloads/Styles/styles_selected\building_in_Ancient_Egyptian_architecture_styleby__bbed0ff2-70fa-402f-97ec-734a563c5765.png,""a hallway is filled with columns and columns, in the style of ancient egypt, lens flare, hasselblad h6d-400c, monolithic structures, national geographic photo, zen-like tranquility, simplified structures"""

